,ImageID,concept,category,mask_type,mask_path
34,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/cheese/cheese_15s.jpg,cheese,food,6_blocked,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/6_blocked/cheese/blocked_7_b4.png
35,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/cheese/cheese_15s.jpg,cheese,food,no_mask,no_mask
36,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/pizza/pizza_07s.jpg,pizza,food,1_natural,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/license_plate/license_plate_04s.jpg
37,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/pizza/pizza_07s.jpg,pizza,food,2_scrambled,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/2_scrambled/apple/apple_02s_p0.5.png
38,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/pizza/pizza_07s.jpg,pizza,food,4_geometric,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/4_geometric/geometric_0_d300.png
39,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/pizza/pizza_07s.jpg,pizza,food,5_lines,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/5_lines/lines_8_d300.png
40,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/pizza/pizza_07s.jpg,pizza,food,6_blocked,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/6_blocked/pizza/blocked_4_b4.png
41,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/pizza/pizza_07s.jpg,pizza,food,no_mask,no_mask
42,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/pizza/pizza_05s.jpg,pizza,food,1_natural,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/bandage/bandage_11s.jpg
43,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/pizza/pizza_05s.jpg,pizza,food,2_scrambled,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/2_scrambled/apple/apple_07s_p0.5.png
44,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/pizza/pizza_05s.jpg,pizza,food,4_geometric,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/4_geometric/geometric_15_d300.png
45,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/pizza/pizza_05s.jpg,pizza,food,5_lines,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/5_lines/lines_18_d300.png
46,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/pizza/pizza_05s.jpg,pizza,food,6_blocked,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/6_blocked/pizza/blocked_1_b4.png
47,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/pizza/pizza_05s.jpg,pizza,food,no_mask,no_mask
48,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/pizza/pizza_02s.jpg,pizza,food,1_natural,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/basketball/basketball_06s.jpg
49,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/pizza/pizza_02s.jpg,pizza,food,2_scrambled,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/2_scrambled/scarf/scarf_08s_p0.5.png
50,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/pizza/pizza_02s.jpg,pizza,food,4_geometric,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/4_geometric/geometric_8_d300.png
51,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/pizza/pizza_02s.jpg,pizza,food,5_lines,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/5_lines/lines_2_d300.png
52,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/pizza/pizza_02s.jpg,pizza,food,6_blocked,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/6_blocked/pizza/blocked_8_b4.png
53,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/pizza/pizza_02s.jpg,pizza,food,no_mask,no_mask
